ID,CorrectIndex,Q_EN,Q_Native,Use Question Image,Use Answer Image,A0_EN,A0_Native,A1_EN,A1_Native,A2_EN,A2_Native,A3_EN,A3_Native,,
0,0,Where is Poland located?,Gdzie leży Polska?,TRUE,FALSE,Next to Russia unfortunately,Obok Rosji niestety,In the Middle East,Na Bliskim Wschodzie,It's a city in Germany,To miasto w Niemczech,On the Moon,Na Księżycu,,
1,"0,1",Choose your fighter.,Wybierz swojego wojownika.,FALSE,TRUE,Winiary,Winiary,Kielecki,Kielecki,Heinz,Heinz,Hellmans,Hellmans,,
2,0,What is the currency of Poland?,Jaka jest waluta Polski?,FALSE,FALSE,Złoty,Złoty,Euro,Euro,Rubles,Ruble,Onions,Cebula,,
3,0,"When a Polish person says No, what do they mean?","Co oznacza, gdy Polak mówi No?",FALSE,FALSE,Yes (Agree),Tak,No (Disagree),Nie,Maybe,Może,I don't know,Nie wiem,,
4,0,What is the unofficial national animal of Poland?,Jakie jest nieoficjalne zwierzę narodowe Polski?,FALSE,TRUE,Proboscis Monkey,Nosacz Sundajski,Stork,Bocian,White Eagle,Orzeł Biały,Bear,Niedźwiedź,,
5,0,Where do you go on Saturday morning to fight for a promotion on fresh meat?,Gdzie idziesz w sobotni poranek walczyć o promocję na świeże mięso?,TRUE,FALSE,Biedronka,Biedronka,Gucci Store,Sklep Gucci,The Library,Biblioteka,Żabka,Żabka,,
6,0,What is the main component of Polish air in winter?,Jaki jest główny składnik polskiego powietrza zimą?,FALSE,FALSE,Smog,Smog,Oxygen,Tlen,Lavender Scent,Zapach lawendy,Hope,Nadzieja,,
7,0,Identify this tactical fortification.,Zidentyfikuj tę fortyfikację taktyczną.,TRUE,FALSE,Parawaning,Parawaning,The Great Wall of China,Wielki Mur Chiński,A refugee camp,Obóz dla uchodźców,VIP Section,Sekcja VIP,,
8,0,You are on a PKP train. What is the first thing you do?,Jesteś w pociągu PKP. Co robisz jako pierwsze?,TRUE,FALSE,Take off your shoes and eat a hard-boiled egg,Zdejmujesz buty i jesz jajko na twardo,Read a book quietly,Cicho czytasz książkę,Drink water,Pijesz wodę,Hack the mainframe,Włamujesz się do systemu,,
9,0,What happens at 21:37?,Co dzieje się o 21:37?,TRUE,FALSE,We sing Barka,Śpiewamy Barkę,Time to sleep,Czas spać,Dinner time,Czas na kolację,Nothing special,Nic specjalnego,,
10,0,What is the main dish on Christmas Eve (Wigilia)?,Jakie jest główne danie na Wigilii?,TRUE,FALSE,Carp,Karp,Turkey,Indyk,Pizza,Pizza,Pierogi with Meat,Pierogi z mięsem,,
11,0,What is the most Polish topping to put on pizza?,Jaki jest najbardziej polski dodatek do pizzy?,FALSE,FALSE,Garlic Sauce,Sos czosnkowy,Pineapple,Ananas,Pepperoni,Pepperoni,Olive Oil,Oliwa,,
12,0,"At a Polish wedding, what happens at midnight?",Co dzieje się o północy na polskim weselu?,TRUE,FALSE,Party game time (Oczepiny),Oczepiny,The bride throws the bouquet,Panna młoda rzuca bukietem,Everyone goes home,Wszyscy idą do domu,The DJ plays Techno,DJ gra techno,,
13,0,Which one is Kubota?,Który to Kubota?,FALSE,TRUE,Kubota Slippers,Klapki Kubota,Chimney,Komin,Bridge,Most,Jelly,Galaretka,,
14,0,What do Poles store in a bag full of bags?,Co Polacy trzymają w torbie pełnej toreb?,FALSE,FALSE,More plastic bags,Więcej reklamówek,Christmas decorations,Ozdoby świąteczne,Old documents,Stare dokumenty,Shoes,Buty,,
15,0,Christmas in Poland is officially canceled if TV does not broadcast this movie.,Święta w Polsce są odwołane jeśli w telewizji nie ma tego filmu.,TRUE,FALSE,Home Alone,Kevin Sam w Domu,Die Hard,Szklana Pułapka,Titanic,Titanic,Shrek,Shrek,,
16,0,Complete the surname: Grzegorz Brzęczyszczy...,Dokończ nazwisko: Grzegorz Brzęczyszczy...,FALSE,FALSE,...kiewicz,...kiewicz,...niewicz,...niewicz,...kowalski,...kowalski,...brzyk,...brzyk,,
17,0,Who is this man?,Kim jest ten mężczyzna?,TRUE,FALSE,Pudzian,Pudzian,Marcin Najman,Marcin Najman,Popek Monster,Popek Monster,Andrzej Golota,Andrzej Gołota,,
18,0,You need a passport to enter this city.,Do tego miasta potrzebujesz paszportu.,TRUE,FALSE,Sosnowiec,Sosnowiec,Warsaw,Warszawa,Kraków,Kraków,Gdańsk,Gdańsk,,
19,0,What is this building in Warsaw?,Co to za budynek w Warszawie?,TRUE,FALSE,Palace of Culture and Science,Pałac Kultury i Nauki,Stalin's Rocket,Rakieta Stalina,The Prudential,Prudential,Złota 44,Złota 44,,
20,0,Who is this national hero?,Kim jest ten bohater narodowy?,TRUE,FALSE,Adam Małysz,Adam Małysz,Robert Kubica,Robert Kubica,Lech Wałęsa,Lech Wałęsa,Super Mario,Super Mario,,
21,0,"You are at a party. Someone yells Bitter, bitter! What happens?","Jesteś na weselu. Ktoś krzyczy Gorzko, gorzko!. Co się dzieje?",TRUE,FALSE,The Bride and Groom must kiss,Para Młoda musi się całować,The vodka is bad,Wódka jest niedobra,A fight starts,Zaczyna się bójka,Everyone leaves,Wszyscy wychodzą,,
22,0,Complete the lyrics: Through your green eyes...,Dokończ tekst: Przez twe oczy zielone...,TRUE,FALSE,...I went crazy,...oszalałem,...I see nothing,...nic nie widzę,...I am in heaven,...jestem w niebie,...My head hurts,...boli mnie głowa,,
23,0,You are making a Kanapka for supper. How many slices of bread do you use?,Robisz kanapkę na kolację. Ilu kromek chleba używasz?,FALSE,FALSE,One (Open Faced),Jedna (Otwarta),Two (Top and Bottom),Dwie (Góra i dół),Three (BigMac style),Trzy (Typu BigMac),Bread is not used for Kanapka,Do kanapek nie używa się chleba,,
24,0,The rest of the world calls it a Fashion Crime. We call it Comfort. What is it?,Reszta świata nazywa to Zbrodnią Mody. My nazywamy to Wygodą. Co to?,FALSE,TRUE,Socks with Sandals,Skarpety i Sandały,Ripped Jeans,Podarte Dżinsy,Crocs,Crocsy,Small Bag,Saszetka,,
25,0,What is the most dangerous question a Polish grandmother can ask?,Jakie jest najniebezpieczniejsze pytanie polskiej babci?,TRUE,FALSE,Are you hungry?,Jesteś głodny?,Do you have a girlfriend?,Masz dziewczynę?,When will you find a job?,Kiedy znajdziesz pracę?,Do you go to church?,Chodzisz do kościoła?,,
26,0,You see a neighbor looking at your new car. What is he thinking?,Sąsiad patrzy na twój nowy samochód. Co myśli?,TRUE,FALSE,Where did he steal the money from?,Skąd on ukradł na to pieniądze?,Good for them!,Dobrze dla nich!,I should buy one too.,Też sobie taki kupię.,Nice color.,Ładny kolor.,,
27,0,What is the primary function of a Polish radiator?,Jaka jest główna funkcja kaloryfera?,FALSE,FALSE,Drying mushrooms and socks,Suszenie grzybów i skarpet,Heating the room,Ogrzewanie pokoju,Decoration,Dekoracja,It makes noise,Robi hałas,,
28,0,Which of these is NOT a real Polish soup?,Która z tych zup NIE jest prawdziwą polską zupą?,TRUE,FALSE,Chocolate Soup (Zupa Czekoladowa),Zupa Czekoladowa,Guts Soup (Flaki ),Flaki,Blood Soup (Czernina ),Czernina, Fruit Soup (Zupa Owocowa),Zupa Owocowa,,
29,0,How do you cure a common cold in Poland?,Jak w Polsce leczy się przeziębienie?,TRUE,FALSE,Tea with raspberry juice and spiritus,Herbata z sokiem malinowym i spirytusem,Go to the doctor,Idziesz do lekarza,Antibiotics immediately,Antybiotyki natychmiast,Sleep it off,Wyśpij to,,
30,0,What is Disco Polo?,Czym jest Disco Polo?,FALSE,FALSE,Music you hate but know every word to,Muzyka której nienawidzisz ale znasz każde słowo,A sport involving horses,Sport z końmi,A type of candy,Rodzaj cukierka,A political party,Partia polityczna,,
31,0,Select the correct reply: Na zdrowie!,Wybierz poprawną odpowiedź: Na zdrowie!,FALSE,FALSE,Cheers!,Dzięki!,Hello!,Cześć!,...Ladies and Gentlemen!,...Panie i Panowie!,Thank you!,Dziękuję!,,
32,0,The name of the shop Żabka literally means:,Nazwa sklepu Żabka dosłownie oznacza:,TRUE,FALSE,Little Frog,Mała Żaba,The Swamp,Bagno,Green Market,Zielony Rynek,Quick Shopping,Szybkie Zakupy,,
33,0,Which one is the Vistula?,Która to Wisła?,FALSE,TRUE,Vistula,Wisła,Tatra Mountains,Tatry,Czernina (Blood Soup),Czernina (Zupa z krwi),Maryla Rodowicz,Maryla Rodowicz,,
34,0,Identify the Polish National Sport (besides football).,Wskaż polski Sport Narodowy (poza piłką nożną).,FALSE,FALSE,Ski Jumping,Skoki Narciarskie,Tennis,Tenis,Cricket,Krykiet,Baseball,Baseball,,
35,0,What is a Paragon?,Co to jest Paragon?,FALSE,FALSE,A receipt you must keep for 5 years,Paragon który musisz trzymać 5 lat,A model citizen,Wzorowy obywatel,A type of dragon,Rodzaj smoka,A shoe brand,Marka butów,,
36,0,Complete the phrase: Kurwa...,Dokończ frazę: Kurwa...,FALSE,FALSE,...mać!,...mać!,...means curve,...oznacza zakręt,...is a bad word,...to złe słowo,...no!,...nie!,,
37,0,What is the scariest letter in the Polish alphabet?,Jaka jest najstraszniejsza litera w polskim alfabecie?,TRUE,FALSE,Sz,Sz,Z,Z,A,A,O,O,,
38,0,Who is Wiedźmin?,Kim jest Wiedźmin?,TRUE,FALSE,Geralt of Rivia,Geralt z Rivii,The Wawel Dragon,Smok Wawelski,Pan Twardowski,Pan Twardowski,Janosik,Janosik,,
39,0,What do you do when the bus driver claps?,Co robisz gdy kierowca autobusu klaszcze?,FALSE,FALSE,Check if your ticket is valid,Sprawdzasz bilet,Clap with him,Klaszczesz z nim,Dance,Tańczysz,Run away,Uciekasz,(Kanar is coming),(Kanar idzie)
40,0,Which city is known for having a mechanical goat clock?,Które miasto słynie z mechanicznych koziołków na zegarze?,TRUE,FALSE,Poznań,Poznań,Kraków,Kraków,Warsaw,Warszawa,Gdańsk,Gdańsk,,
41,0,What is Bigos?,Co to jest Bigos?,FALSE,TRUE,Hunter's Stew with cabbage and meat,Gulasz myśliwski z kapustą i mięsem,A type of dance,Rodzaj tańca,A castle,zamek,Vustula,Vustula,,
42,0,"Translate: Not my circus, not my monkeys.","Przetłumacz: Nie mój cyrk, nie moje małpy.",FALSE,FALSE,Not my problem,To nie mój problem,Stop acting like a clown,Przestań błaznować,This is a huge mess,To wielki bałagan,Leave me alone,Daj mi spokój,,
43,0,What is the most essential furniture in a Polish home?,Jaki jest najważniejszy mebel w polskim domu?,FALSE,FALSE,Trash bin under the sink,Kosz na śmieci pod zlewem,Bed,Łóżko,Table,Stół,Sofa,Sofa,,
44,0,Why do Polish people clap when the plane lands?,Dlaczego Polacy klaszczą po wylądowaniu samolotu?,TRUE,FALSE,To thank the pilot,Żeby podziękować pilotowi,They are happy to be alive,Cieszą się że żyją,It is a rule,Taka jest zasada,They saw a bird,Zobaczyli ptaka,,
45,0,What is Pączek?,Co to jest Pączek?,FALSE,TRUE,A doughnut filled with jam,Pączek z dżemem,A small spider,Mały pająk,Wild mushrooms,Dzikie grzyby,Plastic bag,Plastikowa torba,,
46,0,When is Fat Thursday?,Kiedy jest Tłusty Czwartek?,TRUE,FALSE,Before Lent (Last Thursday of Carnival),Przed Postem (Ostatni czwartek karnawału),Before Easter,Przed Wielkanocą,Every Thursday,W każdy czwartek,When schools are closed on Summer,Kiedy szkoły są zamknięte latem,,
47,0,What is the Hejnał Mariacki?,Co to jest Hejnał Mariacki?,FALSE,FALSE,A trumpet signal played every hour in Kraków,Sygnał z trąbki grany co godzinę w Krakowie,A type of sausage,Rodzaj kiełbasy,A famous painting,Słynny obraz,A football chant,Przyśpiewka piłkarska,,
48,0,Who was Frederic Chopin?,Kim był Fryderyk Chopin?,TRUE,FALSE,Pianist,Pianista,Writer,Pisarz,Philosopher,Filozof,Mathematician,Matematyk,,
49,0,How do you greet someone in Poland?,Jak witasz się w Polsce?,TRUE,FALSE,All of them,Wszystkie,Kiss on the cheek (3 times),Pocałunek w policzek (3 razy),A nod,Skinienie głową,Handshake,Uścisk dłoni,,